,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
203,sigma_0_group,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,-0.001,-0.295,0.257,52
204,sigma_0_group,0,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.023,-0.151,0.106,52
205,sigma_0_group,0,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.109,-0.236,0.013,52
206,sigma_0_group,0,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.052,-0.179,0.075,52
207,sigma_0_group,0,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.06,-0.189,0.067,52
208,sigma_0_group,1,alpha_group_mu,alpha_group_mu[NH],1.0,0.991,0.705,1.361,50
209,sigma_0_group,1,alpha_group_mu,alpha_group_mu[PH],1.0,0.921,0.65,1.208,50
210,sigma_0_group,1,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.087,0.019,0.16,50
211,sigma_0_group,1,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.073,0.009,0.146,50
212,sigma_0_group,1,beta_group_mu,beta_group_mu[NH],0.5,0.55,0.383,0.71,50
213,sigma_0_group,1,beta_group_mu,beta_group_mu[PH],0.5,0.621,0.435,0.809,50
214,sigma_0_group,1,beta_group_sigma,beta_group_sigma[NH],0.05,0.044,0.009,0.078,50
215,sigma_0_group,1,beta_group_sigma,beta_group_sigma[PH],0.05,0.064,0.022,0.1,50
216,sigma_0_group,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.086,-0.376,0.22,50
217,sigma_0_group,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.104,-0.183,0.413,50
218,sigma_0_group,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.047,-0.331,0.23,50
219,sigma_0_group,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.018,-0.256,0.317,50
220,sigma_0_group,1,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.015,-0.164,0.144,50
